"Dataset","Total Samples","Samples (>15 ppb)","Mean Lead (ppb)","Median Lead (ppb)","90th Percentile (ppb)"
"MDEQ",69,6,5.72463768115942,3,11.4
"Virginia Tech",271,45,10.6459926199262,3.521,26.64
